First root.player = true
parent: 0
current.player: false
parent.id = 0, parent.coordinate: {8 8}, parent.value = 0
child.id = 1, child.coordinate: {4 4}, child.value = 6688
child.id = 2, child.coordinate: {4 5}, child.value = 14094
child.id = 3, child.coordinate: {4 6}, child.value = 14094
child.id = 4, child.coordinate: {4 7}, child.value = 14094
child.id = 5, child.coordinate: {4 8}, child.value = 12416
child.id = 6, child.coordinate: {4 9}, child.value = 14094
child.id = 7, child.coordinate: {4 10}, child.value = 14094
child.id = 8, child.coordinate: {4 11}, child.value = 14094
child.id = 9, child.coordinate: {4 12}, child.value = 12416
child.id = 10, child.coordinate: {5 4}, child.value = 13766
child.id = 11, child.coordinate: {5 5}, child.value = 20409
child.id = 12, child.coordinate: {5 6}, child.value = 26244
child.id = 13, child.coordinate: {5 7}, child.value = 26244
child.id = 14, child.coordinate: {5 8}, child.value = 20409
child.id = 15, child.coordinate: {5 9}, child.value = 21870
child.id = 16, child.coordinate: {5 10}, child.value = 26244
child.id = 17, child.coordinate: {5 11}, child.value = 20409
child.id = 18, child.coordinate: {5 12}, child.value = 26244
child.id = 19, child.coordinate: {6 4}, child.value = 13766
child.id = 20, child.coordinate: {6 5}, child.value = 26244
child.id = 21, child.coordinate: {6 6}, child.value = 19924
child.id = 22, child.coordinate: {6 7}, child.value = 26244
child.id = 23, child.coordinate: {6 8}, child.value = 19924
child.id = 24, child.coordinate: {6 9}, child.value = 21870
child.id = 25, child.coordinate: {6 10}, child.value = 19924
child.id = 26, child.coordinate: {6 11}, child.value = 26244
child.id = 27, child.coordinate: {6 12}, child.value = 21870
child.id = 28, child.coordinate: {7 4}, child.value = 13766
child.id = 29, child.coordinate: {7 5}, child.value = 26244
child.id = 30, child.coordinate: {7 6}, child.value = 26244
child.id = 31, child.coordinate: {7 7}, child.value = 19763
child.id = 32, child.coordinate: {7 8}, child.value = 19763
child.id = 33, child.coordinate: {7 9}, child.value = 15389
child.id = 34, child.coordinate: {7 10}, child.value = 26244
child.id = 35, child.coordinate: {7 11}, child.value = 21870
child.id = 36, child.coordinate: {7 12}, child.value = 26244
child.id = 37, child.coordinate: {8 4}, child.value = 12088
child.id = 38, child.coordinate: {8 5}, child.value = 20409
child.id = 39, child.coordinate: {8 6}, child.value = 19924
child.id = 40, child.coordinate: {8 7}, child.value = 19763
child.id = 41, child.coordinate: {8 9}, child.value = 15471
